model,mean_strategy_entropy,mean_branching_factor,planning_intensity,uncertainty_intensity,avg_unique_paths
DeepSeek-R1-Distill-Qwen-7B-Floppanacci-AWQ_traces-math_l5,3.322,4.463,0.0268,0.0593,10.0
Qwen2.5-7B-Instruct-AWQ_traces-math_l5,3.31,3.151,0.0463,0.116,9.94
